Patent,SMILES,Source,pKa,Size,PDI,EE%
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)Cc1ccccc1,94,4.43,62.4,0.24,0
CA2998810A1,CCCCCCCCCC(=O)OCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,96,6.6,120.5,0.16,79.04
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCN1CCN(C)CC1,101,7.27,91.7,0.23,98.96
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCN1CCOCC1,103,6.13,78.8,0.16,90.77
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCC(F)(F)F,107,4.802,55,0.74,0
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(C)=O,108,7.17,119,0.14,96
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNS(C)(=O)=O,109,6.78,81.1,0.13,98.6
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)N(C)C,110,8.03,118,0.13,97.4
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=S)N(C)C,111,7.13,79.3,0.14,98.2
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)NC,112,6.93,85.7,0.12,99
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=S)NC,113,6.42,69.2,0.15,99
CA2998810A1,,114,,65.1,0.11,98.8
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1ccc(N)nc1=O,115,5.66,64.5,0.11,99.7
